Ref,Qty,Value,Description,Manufacturer,MPN,Footprint,Populate,Notes
A1,1,Pico 2 W,RP2350 controller module,Raspberry Pi,Pico 2 W (SC1634 - verify),Pico 2 W module,Yes,Controller core (CORE-1); 3.3V GPIO not 5V tolerant
U1,1,SN74LVC4245A,Octal 5V<->3.3V translating transceiver,Texas Instruments,SN74LVC4245ADWR,SOIC-24W,Yes,DBUS bidirectional; VCCA=5V VCCB=3.3V; DIR from GPIO
U2,1,SN74LVC4245A,Octal 5V<->3.3V translating transceiver,Texas Instruments,SN74LVC4245ADWR,SOIC-24W,Yes,Control outputs; DIR strapped B->A (pin2=GND)
U3,1,SN74LVC14A,Hex Schmitt-trigger inverter,Texas Instruments,SN74LVC14ADR,SOIC-14,Yes,Status inputs (inverting -> active-high at core)
U4,1,AM26LV32E,Quad RS-422 line receiver 3.3V,Texas Instruments,AM26LV32EIDR,SOIC-16,Yes,READ DATA + READ/REF CLOCK; receiver-only
U5,1,SN74LVC1T45,Single-bit 5V<->3.3V translator,Texas Instruments,SN74LVC1T45DBVR,SOT-23-6,Yes,Hardware -RESET driver (drive 8035 reset); VCCA=5V VCCB=3.3V; DIR(5)->GND (B->A)
J1,1,50-pin IDC,PRIAM 50-pin ribbon header 2x25,Generic,TBD,IDC 2x25 2.54mm,Yes,To drive 50-pin connector
R1-R16,16,0R,Series source-damping (controller->drive),Generic,TBD,0805,Yes,0R default - keeping out an of an abundance of caution; <=10R if overshoot
R17,1,220R,Status pull-up to +5V (INDEX),Generic,TBD,0805,Yes,INDEX terminator (with R20); drive open on INDEX (measured) so we terminate
R20,1,330R,Status pull-down to GND (INDEX),Generic,TBD,0805,Yes,INDEX terminator (with R17)
R18-R19,2,220R,Status pull-up to +5V (READY/SECTOR),Generic,TBD,0805,DNP,Drive pulls these up at term rail (measured) - populate only if J1 pin28 left unpowered
R21-R22,2,330R,Status pull-down to GND (READY/SECTOR),Generic,TBD,0805,DNP,Pairs with R18-R19
R26,1,1k,RS-422 READ/REF CLOCK pair termination,Generic,TBD,0805,Yes,Drive terminates CLOCK pair (~95R measured) - light 1k bias; do NOT use 100R (->49R)
R27,1,100R,RS-422 READ DATA pair termination,Generic,TBD,0805,Yes,Drive weakly terminates DATA pair (252R measured) - supply ~100R
R28,1,0R,Series source-damping (-RESET to drive),Generic,TBD,0805,Yes,U5 A-output (pin3) -> J1 pin13; 0R default (<=10R if overshoot)
R29,1,10k,GP17 pull-up to +3V3,Generic,TBD,0805,Yes,Keeps -RESET deasserted through boot (U5 has no OE; RP2350 GP17 resets to input+pull-down)
C1-C8,8,100nF,X7R decoupling per Vcc pin,Kemet,C0805C104J5RACTU,0805,Yes,U1 x2; U2 x2; U3 x1; U4 x1; U5 x2
C9-C10,2,10uF,X7R bulk decoupling +5V and +3.3V,Murata,GRM21BZ71E106KE15K,0805,Yes,
JP1,1,2-pin header,Terminator power select: +5V to J1 pin 28,Generic,TBD,Header 1x2 2.54mm,Yes,Header populated; shunt OPEN by default - install only if drive needs host-supplied term power (verify; adds ~100mA to +5V)
